id ,name_short,name,type,sex,birth,position,education,subject,party,religion,kids,twitter,instagram,facebook,youtube
rs,Schwarzeluehr-Sutter,Rita Schwarzeluehr Sutter,0,1,1962,1,1,1,3,1,2,4253,1536,2943,17
jb,Brandenburg,Jens Brandenburg,0,2,1986,1,2,2,2,NA,NA,5407,3329,NA,NA
mt,Theurer,Michael Theurer,0,2,1967,1,1,3,2,2,2,8482,3745,NA,NA
ft,Toncar,Florian Toncar,0,2,1979,1,2,4,2,2,3,8599,3071,4477,99
bs,Strasser,Benjamin Strasser,0,2,1987,1,3,4,2,1,NA,5815,3936,NA,288
ck,Kuehn,Christian Kuehn,0,2,1979,1,4,2,1,2,3,4829,1663,100,35
fb,Brantner,Franziska Brantner,0,1,1979,1,2,2,1,NA,1,14052,4479,2748,26
tl,Lindner,Tobias Lindner,0,2,1982,2,2,3,1,NA,1,10500,3609,4921,NA
co,Oezdemir,Cem Oezdemir,0,2,1965,3,1,5,1,3,2,317000,105000,NA,NA
dg,Gruene,Buendnis 90/Die Gruenen,1,NA,NA,NA,NA,NA,1,NA,NA,631864,226000,229678,24800
fdp,FDP,Freie Demokratische Partei,1,NA,NA,NA,NA,NA,2,NA,NA,404288,157000,169735,20200
spd,SPD,Sozialdemokratische Partei Deutschland,1,NA,NA,NA,NA,NA,3,NA,NA,418920,92700,86235,NA
gj,Gruene Jugend,Gruene Jugend,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jl,JuLis,Junge Liberale,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bt,Bundestag,Deutscher Bundestag,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tbg,Tuebingen,Tuebingen,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
knz,Konstanz,Konstanz,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
str,Stuttgart,Stuttgart,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rtl,Reutlingen,Reutlingen,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mnh,Mannheim,Mannheim,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
frb,Freiburg,Freiburg,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
krh,Karlsruhe,Karlsruhe,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prs,Paris,"Paris, Frankreich",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
usa,usa,United States of America,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
swz,Schweiz,Schweiz,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
uk,UK,United Kingdom,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
eup,EU Parlamentariergruppe,Europa-Union-Parlamentariergruppe im Europaeischen Parlament,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
zoe,Oeffentliche Sicherheit,Zukunftsforum Oeffentliche Sicherheit e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fpf,Fc Play Fair!,FC Play Fair! Verein für Integritaet und Nachhaltigkeit im Fußball e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dsi,Stiftung Integration,DSI Deutschlandstiftung Integration,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
afr,AKTIONfahrRAD,AKTIONfahrRAD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
afv,Ausschuss für Verkehr,Ausschuss für Verkehr und digitale Infrastruktur ,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gmf,German Marshall Fund,German Marshall Fund of the United States of America,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
afi,Ausschuss für Inneres,Ausschuss für Inneres und Heimat ,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aa,Auswaertiger Ausschuss,Auswaertiger Ausschuss ,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bmc,BMCO,Bundesmusikverband Chor & Orchester e.V. (BMCO),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lst,Landgericht Stuttgart,Landgericht Stuttgart,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rcw,Rotary Club,Rotary Club Ravensburg-Weingarten,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
brb,Blutreitergruppe Berg,Blutreitergruppe Berg,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kcb,Kirchenchor,"Kirchenchor St. Peter und Paul, Berg",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aas,Ausschuss für Arbeit und Soziales,Ausschuss für Arbeit und Soziales ,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aft,Ausschuss für Tourismus,Ausschuss für Tourismus ,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
afg,Ausschuss für Gesundheit,Ausschuss für Gesundheit,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
awe,Ausschuss für Wind und Energie,Ausschuss für Wind und Energie ,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gnb,Gaeu-Neckar-Bodensee-Bahn,Interessenverband Gaeu-Neckar-Bodensee-Bahn,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wcd,Wirtschaftspolitischer Club ,Wirtschaftspolitischer Club Deutschland e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
idi,IDI ,IDI - Initiative Deutsche Infrastruktur e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scb,Schwabo,Schwarzwaelder Bote,1,NA,1835,NA,NA,NA,NA,NA,NA,3972,25700,58273,7410
bws,Ausschuss für Bau,"Ausschuss für Bau, Wohnen, Stadtentwicklung und Kommunen ",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unn,Ausschuss für Umwelt,"Ausschuss für Umwelt, Naturschutz und nukleare Sicherheit ",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ruv,Ausschuss für Recht und Verbraucherschutz,Ausschuss für Recht und Verbraucherschutz ,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
