from (id),to (id),relationship,year
ck,dg,2,1998
fb,dg,2,1996
tl,dg,2,1998
co,dg,2,1981
jb,fdp,2,2006
mt,fdp,2,1983
ft,fdp,2,1998
bs,fdp,2,2006
rs,spd,2,1994
fb,gj,2,1996
tl,gj,2,1999
jb,jl,2,2005
mt,jl,2,1983
bs,jl,2,2005
fb,bt,2,2013
ft,bt,2,2017
rs,bt,2,2005
tl,bt,2,2011
bs,bt,2,2017
co,bt,2,1994
mt,bt,2,2017
ck,bt,2,2013
jb,bt,2,2017
mt,eup,2,2014
jb,eup,2,2019
fb,eup,2,2019
bs,eup,2,2019
ck,eup,2,2019
tl,eup,2,2019
bs,zoe,4,2018
co,rtl,7,NA
co,fpf,3,2018
co,dsi,3,2018
co,afr,3,2018
ck,afv,2,2013
co,afv,2,2017
co,gmf,6,2003
fb,aa,2,2013
co,aa,2,2013
bs,knz,7,2006
bs,str,7,2012
ft,afi,2,2017
bs,afi,2,2017
bs,bmc,3,2019
bs,lst,6,2012
bs,rcw,3,NA
bs,brb,3,NA
bs,kcb,3,NA
mt,aas,6,2017
mt,aft,6,2017
mt,afg,6,2017
mt,awe,6,2017
mt,gnb,3,2001
mt,wcd,3,2017
mt,idi,3,2017
mt,scb,6,1988
mt,tbg,7,1990
ck,tbg,7,NA
ck,bws,2,2017
ck,unn,2,2017
ck,ruv,2,2017
ck,def,3,2017
ck,bbk,3,2017
ck,swr,4,2017
fb,epc,4,2017
fb,zif,4,2017
fb,mnh,7,2010
fb,prs,7,NA
fb,usa,7,NA
fb,esa,6,2006
fb,bcp,2,2020
rs,kfw,4,2017
ft,kfw,4,2017
mt,kfw,4,2017
ft,gsf,3,2017
co,gsf,3,2017
mt,ths,3,2017
co,ths,3,2017
tl,krh,7,2002
tl,has,2,2013
ck,has,2,2017
rs,swz,7,1983
rs,frb,7,1983
ft,str,7,2005
ft,lst,6,2005
ft,uk,7,2002
ft,fns,5,2001
mt,fns,5,NA
jb,mnh,7,2005
jb,usa,7,2002
fb,aff,2,2013
jb,aff,2,2017
mt,afw,2,2017
co,afw,2,2013
mt,hau,2,2021
ft,hau,2,2021
